,guid,title,pubDate,link,duration,author,explicit,summary,subtitle,description,enclosure,image
10,"tag:soundcloud,2010:tracks/749907601",episode 69 - gov of techno-what again?,"mon, 27 jan 2020 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-69-gov-of-techno-what-again,00:44:54,the lebanese politics podcast,yes,"ben and nizar take a closer look at lebanon's new government and how it is very much business as usual. 

also covered: bassil in davos, lebanon approaching a fiscal cliff, parliment to meet on the 2020 budget, debt repayments on the horizon, and the uprising enters a new phase as lebanese pause to see what this new government can achieve.

music track: zuhal by elepheel, check out his other work @elepheel",ben and nizar take a closer look at lebanon's new…,"ben and nizar take a closer look at lebanon's new government and how it is very much business as usual. 

also covered: bassil in davos, lebanon approaching a fiscal cliff, parliment to meet on the 2020 budget, debt repayments on the horizon, and the uprising enters a new phase as lebanese pause to see what this new government can achieve.

music track: zuhal by elepheel, check out his other work @elepheel",none,none
11,"tag:soundcloud,2010:tracks/746140696","episode 68 - no money, mo problems","mon, 20 jan 2020 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-68-no-money-mo-problems,00:43:47,the lebanese politics podcast,yes,"ben and nizar are back for season three! 

episode 68 kicks off 2020 with analysis on the appointment of pm-designate hassan diab and the reasons behind the delay in forming a government, the assassination of soleimani from a lebanese perspective, and how hezbollah used the situation to their advantage, the return of not so prodigal son carlos ghosn, the deteriorating financial situation, and renewed protests in lebanon taking aim at the banks. 

nb: recorded prior to the violence at the weekend.

music track: zuhal by elepheel, check out his other work @elepheel","ben and nizar are back for season three! 

episod…","ben and nizar are back for season three! 

episode 68 kicks off 2020 with analysis on the appointment of pm-designate hassan diab and the reasons behind the delay in forming a government, the assassination of soleimani from a lebanese perspective, and how hezbollah used the situation to their advantage, the return of not so prodigal son carlos ghosn, the deteriorating financial situation, and renewed protests in lebanon taking aim at the banks. 

nb: recorded prior to the violence at the weekend.

music track: zuhal by elepheel, check out his other work @elepheel",none,none
12,"tag:soundcloud,2010:tracks/728320216",episode 67 - yalla bye 2019,"mon, 16 dec 2019 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-67-yalla-bye-2019,00:51:21,the lebanese politics podcast,yes,"in the final episode of season two, ben and nizar reflect back on the main threads of 2019 - the deteriorating economic situation and lack of competence in the political class that led to the eruption of still ongoing protests in lebanon - to analyze the main takeaways of this past year: the politicization of the economy, broken confidence in the financial system and rejection of politics as usual.

also covered: news of the past week, including khatib's withdrawal, clashes in verdun, and the politicking behind speeches by bassil and nasrallah.

music track: zuhal by elepheel, check out his other work @elepheel","in the final episode of season two, ben and nizar…","in the final episode of season two, ben and nizar reflect back on the main threads of 2019 - the deteriorating economic situation and lack of competence in the political class that led to the eruption of still ongoing protests in lebanon - to analyze the main takeaways of this past year: the politicization of the economy, broken confidence in the financial system and rejection of politics as usual.

also covered: news of the past week, including khatib's withdrawal, clashes in verdun, and the politicking behind speeches by bassil and nasrallah.

music track: zuhal by elepheel, check out his other work @elepheel",none,none
13,"tag:soundcloud,2010:tracks/724647994","episode 66 - those who stall, those who suffer","mon, 09 dec 2019 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-66-those-who-stall-those-who-suffer,00:47:09,the lebanese politics podcast,yes,"nizar and ben are joined by timour azhari to discuss ongoing politicking over lebanon's next prime minister, bdl's new circular and what it means for depositors, the human cost of the dire economic situation, and the latest with the protests.

music track: zuhal by elepheel, check out his other work @elepheel",nizar and ben are joined by timour azhari to disc…,"nizar and ben are joined by timour azhari to discuss ongoing politicking over lebanon's next prime minister, bdl's new circular and what it means for depositors, the human cost of the dire economic situation, and the latest with the protests.

music track: zuhal by elepheel, check out his other work @elepheel",none,none
14,"tag:soundcloud,2010:tracks/721242043",episode 65 - class dynamics & organizing,"mon, 02 dec 2019 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-65-class-dynamics-organizing,00:51:23,the lebanese politics podcast,yes,"ben and nizar are joined by rima majed, assistant professor of sociology at the american university of beirut to discuss recent attempts to sectarianize the protests, the class dynamics at play, and how protesters are coming together to organize based on profession. 

also covered: hariri withdraws his name, samir khatib is touted, the lira hits 2,300 to the dollar, gas stations strike again, aoun chairs an economic meeting, and clashes break out in the streets. 

music track: zuhal by elepheel, check out his other work @elepheel","ben and nizar are joined by rima majed, assistant…","ben and nizar are joined by rima majed, assistant professor of sociology at the american university of beirut to discuss recent attempts to sectarianize the protests, the class dynamics at play, and how protesters are coming together to organize based on profession. 

also covered: hariri withdraws his name, samir khatib is touted, the lira hits 2,300 to the dollar, gas stations strike again, aoun chairs an economic meeting, and clashes break out in the streets. 

music track: zuhal by elepheel, check out his other work @elepheel",none,none
15,"tag:soundcloud,2010:tracks/717524914",episode 64 - restoring economic confidence,"mon, 25 nov 2019 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-64-restoring-economic-confidence,01:04:28,the lebanese politics podcast,yes,"discussion on the economy begins at 19:00.

ben and nizar are joined by jad chaaban, associate professor of economics at the american university of beirut to analyze how a dual crisis of confidence led to the current economic outlook in lebanon and what steps need to be taken to re-establish confidence in the banking sector.

also covered: safadi, parliament, beirut bar elections, independence day and beirut madinati.

music track: zuhal by elepheel, check out his other work @elepheel","discussion on the economy begins at 19:00.

ben a…","discussion on the economy begins at 19:00.

ben and nizar are joined by jad chaaban, associate professor of economics at the american university of beirut to analyze how a dual crisis of confidence led to the current economic outlook in lebanon and what steps need to be taken to re-establish confidence in the banking sector.

also covered: safadi, parliament, beirut bar elections, independence day and beirut madinati.

music track: zuhal by elepheel, check out his other work @elepheel",none,none
16,"tag:soundcloud,2010:tracks/714230935",episode 63 - thirty days in the streets,"mon, 18 nov 2019 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-63-thirty-days-in-the-streets,00:41:12,the lebanese politics podcast,yes,"one month in, ben is joined by guest host timour azhari to look at the bigger picture for lebanon's protests, as well as analyze the news of past week, including safadi's nomination, violence toward protesters, the economic situation, and bank closures. 

music track: zuhal by elepheel, check out his other work @elepheel","one month in, ben is joined by guest host timour …","one month in, ben is joined by guest host timour azhari to look at the bigger picture for lebanon's protests, as well as analyze the news of past week, including safadi's nomination, violence toward protesters, the economic situation, and bank closures. 

music track: zuhal by elepheel, check out his other work @elepheel",none,none
17,"tag:soundcloud,2010:tracks/710736307",episode 62 - changing tactics & demographics,"mon, 11 nov 2019 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-62-changing-tactics-demographics,00:45:44,the lebanese politics podcast,yes,"nizar and ben are joined for a second time by feminist activist nadine moawad to analyze the news of the past week, including the political dance taking place, the worsening economic situation, counter protests, the involvement of lebanon's students, and the changing tactics of the protesters. 

music track: zuhal by elepheel, check out his other work @elepheel",nizar and ben are joined for a second time by fem…,"nizar and ben are joined for a second time by feminist activist nadine moawad to analyze the news of the past week, including the political dance taking place, the worsening economic situation, counter protests, the involvement of lebanon's students, and the changing tactics of the protesters. 

music track: zuhal by elepheel, check out his other work @elepheel",none,none
18,"tag:soundcloud,2010:tracks/706834120",episode 61 - bye bye hariri?,"sat, 02 nov 2019 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-61-bye-bye-hariri,00:44:19,the lebanese politics podcast,yes,"as lebanon takes a deep breath to ponder what happens next, so do we. ben and nizar analyze the resignation of prime minister saad hariri (and by extension his government), what this means for the protest movement and its demands moving forward, and what government formation possibilities are on the table - technocratic, techo political etc. and yes, ben's 'days without a government' spreadsheet is back in full force. 

music track: zuhal by elepheel, check out his other work @elepheel",as lebanon takes a deep breath to ponder what hap…,"as lebanon takes a deep breath to ponder what happens next, so do we. ben and nizar analyze the resignation of prime minister saad hariri (and by extension his government), what this means for the protest movement and its demands moving forward, and what government formation possibilities are on the table - technocratic, techo political etc. and yes, ben's 'days without a government' spreadsheet is back in full force. 

music track: zuhal by elepheel, check out his other work @elepheel",none,none
19,"tag:soundcloud,2010:tracks/702579295",episode 60 - roadblocks & revolutions,"sun, 27 oct 2019 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-60-roadblocks-revolutions,00:55:16,the lebanese politics podcast,yes,"there is only one story on everyone's mind in lebanon right now, as we enter the 12th day of nationwide protests that have brought the country to a standstill.

nizar and ben break down the events of this past week day by day, with analysis on the cabinet's reform measures, speeches by hariri, aoun, and nasrallah, the efforts to reopen the streets, the reactions of each of the main political party leaders, and how, in beirut, the demographics of the protests seem to be shifting.

music track: zuhal by elepheel, check out his other work @elepheel",there is only one story on everyone's mind in leb…,"there is only one story on everyone's mind in lebanon right now, as we enter the 12th day of nationwide protests that have brought the country to a standstill.

nizar and ben break down the events of this past week day by day, with analysis on the cabinet's reform measures, speeches by hariri, aoun, and nasrallah, the efforts to reopen the streets, the reactions of each of the main political party leaders, and how, in beirut, the demographics of the protests seem to be shifting.

music track: zuhal by elepheel, check out his other work @elepheel",none,none
20,"tag:soundcloud,2010:tracks/699201214",episode 59 - lebanon on fire,"sun, 20 oct 2019 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-59-lebanon-on-fire,01:24:40,the lebanese politics podcast,yes,"it's a bumper episode this week, and slight departure from our usual format given the realities in lebanon right now. 

nizar and ben are joined by timour azhari, senior reporter at the daily star, to discuss everything that has unfolded over the last seven days, starting with wildfires on monday and erupting into still ongoing mass protests across the country that began thursday night.
 
we break down what has happened day by day, with analysis on why events unfolded as they did, what the protests seek to achieve, the political response thus far, and the immediate and potential impacts of the protests going forward.

music track: zuhal by elepheel, check out his other work @elepheel","it's a bumper episode this week, and slight depar…","it's a bumper episode this week, and slight departure from our usual format given the realities in lebanon right now. 

nizar and ben are joined by timour azhari, senior reporter at the daily star, to discuss everything that has unfolded over the last seven days, starting with wildfires on monday and erupting into still ongoing mass protests across the country that began thursday night.
 
we break down what has happened day by day, with analysis on why events unfolded as they did, what the protests seek to achieve, the political response thus far, and the immediate and potential impacts of the protests going forward.

music track: zuhal by elepheel, check out his other work @elepheel",none,none
21,"tag:soundcloud,2010:tracks/695148277",episode 58 - the economic model,"mon, 14 oct 2019 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-58-the-economic-model,00:48:28,the lebanese politics podcast,yes,"discussion of the economic model begins at 15:36.

ben and nizar break down reasons behind recent gas station strikes and the growing concerns of medicine/wheat importers, before taking a step back to look at the wider picture—lebanon's economic model—and how an accumulation of economic policies have lead us to a critical point today that will require more than just securing dollar liquidity to resolve. 

also covered: a dangerous dismissal of judicial process, increading attacks on press freedom, and vague promises of financial support from the uae.

music track: zuhal by elepheel, check out his other work @elepheel",discussion of the economic model begins at 15:36.…,"discussion of the economic model begins at 15:36.

ben and nizar break down reasons behind recent gas station strikes and the growing concerns of medicine/wheat importers, before taking a step back to look at the wider picture—lebanon's economic model—and how an accumulation of economic policies have lead us to a critical point today that will require more than just securing dollar liquidity to resolve. 

also covered: a dangerous dismissal of judicial process, increading attacks on press freedom, and vague promises of financial support from the uae.

music track: zuhal by elepheel, check out his other work @elepheel",none,none
22,"tag:soundcloud,2010:tracks/688439707",episode 57 - sectarianism,"mon, 30 sep 2019 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-57-sectarianism,00:44:02,the lebanese politics podcast,yes,"discussion of sectarianism begins at 10:38.

nizar and ben are joined this week by bassel salloukh, associate professor of political science at the lebanese american university, to talk about the issue that underlines every other aspect of lebanese politics: sectarianism. from its historical beginnings to its influence on the lebanese political economy and current issues of the day, we look at how the sectarian identity was first constructed and the difficulties of breaking down sectarian divides. 

book reference: salloukh et a. (2015): the politics of sectarianism in post-war lebanon

also discussed: the reasons behind the dollar shortage and is impact on the economy. 

music track: zuhal by elepheel, check out his other work @elepheel","discussion of sectarianism begins at 10:38.

niza…","discussion of sectarianism begins at 10:38.

nizar and ben are joined this week by bassel salloukh, associate professor of political science at the lebanese american university, to talk about the issue that underlines every other aspect of lebanese politics: sectarianism. from its historical beginnings to its influence on the lebanese political economy and current issues of the day, we look at how the sectarian identity was first constructed and the difficulties of breaking down sectarian divides. 

book reference: salloukh et a. (2015): the politics of sectarianism in post-war lebanon

also discussed: the reasons behind the dollar shortage and is impact on the economy. 

music track: zuhal by elepheel, check out his other work @elepheel",none,none
23,"tag:soundcloud,2010:tracks/684994378",episode 56 - south lebanon army,"mon, 23 sep 2019 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-56-south-lebanon-army,00:50:04,the lebanese politics podcast,yes,"discussion on the sla begins at 19:15.

with the recent return and subsequent arrest of amer fakhoury, nizar and ben put the heated debate in the country into context by looking at the origins and history of the south lebanon army, with a particular focus on the notorious khiam detention centre, and how the lebanese have sought to address the issue of those who fled south following the israeli withdrawal in 2000. 

also covered: the suspension of future tv, the suing of nida al-watan, stl opening a new case against salim ayyash, cabinet meeting on budget 2020—with the potential to have a budget passed in the constitutional deadline for the first time in 15 years—hariri’s trips to saudi and france, and the gas station strike. 

resources on khiam:
amnesty letter just after the liberation: https://www.amnesty.org/download/documents/140000/mde180082000en.pdf 
the independent (robert fisk): http://willzuzak.ca/lp/fisk02.html 
video - liberation day (start at 12:30) - https://youtu.be/grkzgwwsn0e?t=749 


music track: zuhal by elepheel, check out his other work @elepheel","discussion on the sla begins at 19:15.

with the …","discussion on the sla begins at 19:15.

with the recent return and subsequent arrest of amer fakhoury, nizar and ben put the heated debate in the country into context by looking at the origins and history of the south lebanon army, with a particular focus on the notorious khiam detention centre, and how the lebanese have sought to address the issue of those who fled south following the israeli withdrawal in 2000. 

also covered: the suspension of future tv, the suing of nida al-watan, stl opening a new case against salim ayyash, cabinet meeting on budget 2020—with the potential to have a budget passed in the constitutional deadline for the first time in 15 years—hariri’s trips to saudi and france, and the gas station strike. 

resources on khiam:
amnesty letter just after the liberation: https://www.amnesty.org/download/documents/140000/mde180082000en.pdf 
the independent (robert fisk): http://willzuzak.ca/lp/fisk02.html 
video - liberation day (start at 12:30) - https://youtu.be/grkzgwwsn0e?t=749 


music track: zuhal by elepheel, check out his other work @elepheel",none,none
24,"tag:soundcloud,2010:tracks/680932670",episode 55 - public spaces,"mon, 16 sep 2019 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-55-public-spaces,00:45:00,the lebanese politics podcast,yes,"discussion of public spaces and urban activism begins at 09:30.

nizar is joined by mona harb, professor of urban studies, planning, and politics at the american university of beirut to talk about the fracturing of beirut's public space, its social consequences, and how urban activists have targeted public spaces to enact political change. 

also covered: the return and arrest of amer fakhouri, more sanctions on hezbollah, nasrallah's speech, budget 2020, and a laid back approach from the americans on border talks.

music track: zuhal by elepheel, check out his other work @elepheel",discussion of public spaces and urban activism be…,"discussion of public spaces and urban activism begins at 09:30.

nizar is joined by mona harb, professor of urban studies, planning, and politics at the american university of beirut to talk about the fracturing of beirut's public space, its social consequences, and how urban activists have targeted public spaces to enact political change. 

also covered: the return and arrest of amer fakhouri, more sanctions on hezbollah, nasrallah's speech, budget 2020, and a laid back approach from the americans on border talks.

music track: zuhal by elepheel, check out his other work @elepheel",none,none
25,"tag:soundcloud,2010:tracks/678095853",episode 54 - when drones and ratings fall,"mon, 09 sep 2019 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-54-when-drones-and-ratings-fall,00:38:59,the lebanese politics podcast,yes,"we’re back! what a summer to take a holiday. ben and nizar talk over everything that has happened in this past month, in particular the now declared “state of economic emergency” in lebanon and why no side wants to escalate the border skirmish between hezbollah and israel. 

also covered: cabinet gets back to work, what the ratings downgrade actually means in practice, a tentative plan to avoid another trash crisis, and the us sanctioning of jammal trust bank. 

music track: zuhal by elepheel, check out his other work @elepheel",we’re back! what a summer to take a holiday. ben …,"we’re back! what a summer to take a holiday. ben and nizar talk over everything that has happened in this past month, in particular the now declared “state of economic emergency” in lebanon and why no side wants to escalate the border skirmish between hezbollah and israel. 

also covered: cabinet gets back to work, what the ratings downgrade actually means in practice, a tentative plan to avoid another trash crisis, and the us sanctioning of jammal trust bank. 

music track: zuhal by elepheel, check out his other work @elepheel",none,none
